Index,Time,camToTurretTranformationDisplay[0],camToTurretTranformationDisplay[1],camToTurretTranformationDisplay[2],camToTurretTranformationDisplay[3],camToTurretTranformationDisplay[4],camToTurretTranformationDisplay[5],camToTurretTranformationDisplay[6],camToTurretTranformationDisplay[7],camToTurretTranformationDisplay[8],camToTurretTranformationDisplay[9],camToTurretTranformationDisplay[10],camToTurretTranformationDisplay[11],camToTurretTranformationDisplay[12],camToTurretTranformationDisplay[13],camToTurretTranformationDisplay[14],camToTurretTranformationDisplay[15]
7151,7.151006,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7152,7.152001,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7153,7.153010,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7154,7.154005,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7155,7.155003,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7156,7.156003,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7157,7.156999,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7158,7.157996,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7159,7.159002,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7160,7.160000,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7161,7.161006,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7162,7.161996,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7163,7.163002,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7164,7.163998,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7165,7.165037,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7166,7.165999,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7167,7.166997,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7168,7.167992,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7169,7.168992,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7170,7.169998,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
